EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
0,mu-,0.561816,-0.0912612,500,0.56918,9948.18,21.8151,-3.97052,10053.3,22.1735
1,mu-,-0.829042,-0.967826,500,1.27436,9639.28,-32.1142,-39.4179,9744.23,50.8438
2,mu-,-1.27165,-0.786491,500,1.49521,9936.77,-52.5761,-30.8611,10041.7,60.9644
3,mu-,-0.768989,-0.221517,483.331,0.800259,9948.37,-35.577,-9.23487,10053.4,36.756
3,mu-,-0.827979,-0.236829,500,0.861184,9948.37,-35.5849,-9.24867,10053.4,36.7671
3,e-,-0.755335,-0.219912,483.331,0.786697,0.0019964,0.0291039,0.0321326,-0.0128359,0.0433536
3,e-,-0.713176,-0.173366,483.313,0.733946,0,0,0,-0,0
3,e-,-0.713176,-0.173366,483.313,0.733946,0,0,0,-0,0
3,e-,-0.706744,-0.255334,483.353,0.751454,0,0,-0,0,0
3,e-,-0.706744,-0.255334,483.353,0.751454,0,0,-0,0,0
4,mu-,0.845864,-0.805673,500,1.16816,9936.91,36.1403,-32.9989,10041.9,48.9392
5,mu-,0.283186,0.528932,500,0.59997,9951.5,11.803,22.9076,10056.6,25.7695
6,mu-,0.414635,0.115275,500,0.430361,9955.75,17.5008,5.81846,10060.8,18.4427
7,mu-,1.44127,-1.15242,486.968,1.84536,9952.97,63.1268,-50.5334,10057.8,80.8618
7,mu-,1.52307,-1.2179,500,1.95013,9952.97,63.0713,-50.5627,10057.7,80.8367
7,e-,1.43187,-1.11992,486.97,1.81782,0,-0,0,0,0
7,e-,1.43187,-1.11992,486.97,1.81782,0,-0,0,0,0
8,mu-,0.680706,0.993826,500,1.2046,9898.2,26.3343,39.6652,10003.2,47.6112
9,mu-,1.03352,0.747636,500,1.27558,9941.35,37.9201,30.0684,10046.3,48.3946
10,mu-,-0.596644,-0.877575,500,1.06119,9948.4,-24.7971,-38.1921,10053.4,45.536
11,mu-,-0.388524,-1.11355,495.75,1.17938,9953.23,-16.8722,-47.0047,10058.2,49.9411
11,mu-,-0.395653,-1.13341,500,1.20049,9953.23,-16.872,-47.0075,10058.2,49.9436
11,e-,-0.435411,-1.11419,495.752,1.19624,0,-0,-0,0,0
11,e-,-0.435411,-1.11419,495.752,1.19624,0,-0,-0,0,0
12,mu-,0.713732,-1.68345,500,1.8285,9952.89,28.7386,-67.7931,10057.7,73.633
13,mu-,1.78126,0.862533,500,1.97911,9940.05,72.6508,35.8601,10044.8,81.0191
14,mu-,0.68384,-0.443246,500,0.814926,9950.36,28.3571,-19.1184,10055.4,34.1999
15,mu-,0.463287,-0.969166,500,1.07421,9953.3,18.7879,-41.7697,10058.3,45.8006
16,mu-,-0.79765,-0.875149,500,1.18412,9953.32,-33.8973,-37.1928,10058.3,50.3222
17,mu-,0.655934,-1.44404,500,1.58603,9949.22,26.8978,-58.1159,10054.1,64.0387
18,mu-,-0.185843,-0.888241,500,0.907474,9870.1,-6.2056,-37.0085,9975.13,37.5251
19,mu-,1.19186,-0.274899,483.981,1.22315,9954.26,54.2904,-12.0784,10059.2,55.6178
19,mu-,1.27831,-0.294134,500,1.31171,9954.25,54.3086,-12.1032,10059.2,55.6409
19,e-,1.18044,-0.245264,483.982,1.20565,0,-0,0,0,0
19,e-,1.18044,-0.245264,483.982,1.20565,0,-0,0,0,0
20,mu-,2.60301,-0.492007,500,2.6491,9947.32,107.593,-20.7639,10051.8,109.578
21,mu-,-0.346734,-0.331476,500,0.479688,9956.54,-13.9512,-14.1433,10061.6,19.8662
22,mu-,0.438537,0.25795,500,0.508776,9954.99,18.076,10.6463,10060.1,20.9782
23,mu-,-0.769051,-1.00027,500,1.26174,9952.92,-32.2775,-38.7031,10057.9,50.3961
24,mu-,2.11143,-0.639728,500,2.20621,9909.76,83.869,-22.4554,10014.5,86.8231
25,mu-,0.00714378,1.01818,500,1.0182,9953.69,1.57216,43.3059,10058.7,43.3344
26,mu-,1.15878,1.60791,491.789,1.98196,9933.31,49.1249,67.143,10038.1,83.1952
26,mu-,1.19896,1.66283,500,2.05,9933.31,49.1317,67.1856,10038.1,83.2335
26,e-,1.17621,1.61951,491.79,2.00157,0,0,0,0,0
26,e-,1.17621,1.61951,491.79,2.00157,0,0,0,0,0
27,mu-,-0.24583,-0.304669,500,0.391479,9879.05,-8.07339,-11.9683,9984.14,14.4368
28,mu-,0.725951,0.262745,484.64,0.772036,9953.97,30.966,11.2208,10059,32.9363
28,mu-,0.773235,0.279879,500,0.822329,9953.97,31.0165,11.2185,10059,32.983
